epoch,val_loss
0,113.226349
epoch,val_loss
0,110.698380
1,110.698380
2,110.698380
3,110.698380
4,110.698380
5,110.698380
6,110.698380
7,110.698380
8,110.698380
9,110.698380
10,110.698380
epoch,val_loss
0,113.438019
epoch,val_loss
0,114.236877
epoch,val_loss
0,111.926201
epoch,val_loss
0,54.414505
1,46.294991
2,40.389317
3,40.171028
4,39.262760
5,38.948448
6,41.768463
7,41.075619
8,40.568596
9,38.754574
10,39.550930
11,41.122013
12,38.998306
13,38.141304
14,39.915424
15,39.957474
16,40.635094
17,38.197651
18,38.339596
19,38.556866
20,39.743961
21,39.981400
22,38.183380
23,39.191002
