,ticker
ACN_segment_32,ACN
ACN_segment_33,ACN
ACN_segment_34,ACN
ACN_segment_35,ACN
ACN_segment_36,ACN
ACN_segment_37,ACN
ACN_segment_38,ACN
ACN_segment_39,ACN
ACN_segment_40,ACN
ACN_segment_41,ACN
ACN_segment_42,ACN
ACN_segment_43,ACN
ACN_segment_44,ACN
ACN_segment_45,ACN
ACN_segment_46,ACN
ACN_segment_47,ACN
ACN_segment_48,ACN
ACN_segment_49,ACN
ACN_segment_50,ACN
ACN_segment_51,ACN
ACN_segment_52,ACN
ACN_segment_53,ACN
ACN_segment_54,ACN
ACN_segment_55,ACN
ACN_segment_56,ACN
ACN_segment_57,ACN
ACN_segment_58,ACN
ADBE_segment_1,ADBE
ADBE_segment_2,ADBE
ADBE_segment_3,ADBE
ADBE_segment_4,ADBE
ADBE_segment_5,ADBE
ADBE_segment_6,ADBE
ADBE_segment_7,ADBE
ADBE_segment_8,ADBE
ADBE_segment_9,ADBE
ADBE_segment_10,ADBE
ADBE_segment_11,ADBE
ADBE_segment_12,ADBE
ADBE_segment_13,ADBE
ADBE_segment_14,ADBE
ADBE_segment_15,ADBE
ADBE_segment_16,ADBE
ADBE_segment_17,ADBE
ADBE_segment_18,ADBE
ADBE_segment_19,ADBE
ADBE_segment_20,ADBE
ADBE_segment_21,ADBE
ADBE_segment_22,ADBE
ADBE_segment_23,ADBE
ADBE_segment_24,ADBE
ADBE_segment_25,ADBE
ADBE_segment_26,ADBE
ADBE_segment_27,ADBE
ADBE_segment_28,ADBE
ADBE_segment_29,ADBE
ADBE_segment_30,ADBE
ADBE_segment_31,ADBE
ADBE_segment_32,ADBE
ADBE_segment_33,ADBE
ADBE_segment_34,ADBE
ADBE_segment_35,ADBE
ADBE_segment_36,ADBE
ADBE_segment_37,ADBE
ADBE_segment_38,ADBE
ADBE_segment_39,ADBE
ADBE_segment_40,ADBE
ADBE_segment_41,ADBE
ADBE_segment_42,ADBE
ADBE_segment_43,ADBE
ADBE_segment_44,ADBE
ADBE_segment_45,ADBE
ADBE_segment_46,ADBE
ADBE_segment_47,ADBE
ADBE_segment_48,ADBE
ADBE_segment_49,ADBE
ADBE_segment_50,ADBE
ADBE_segment_51,ADBE
ADBE_segment_52,ADBE
ADBE_segment_53,ADBE
ADBE_segment_54,ADBE
ADBE_segment_55,ADBE
ADBE_segment_56,ADBE
ADBE_segment_57,ADBE
ADBE_segment_58,ADBE
ADBE_segment_59,ADBE
ADBE_segment_60,ADBE
ADBE_segment_61,ADBE
ADBE_segment_62,ADBE
ADBE_segment_63,ADBE
AMD_segment_1,AMD
AMD_segment_2,AMD
AMD_segment_3,AMD
AMD_segment_4,AMD
AMD_segment_5,AMD
AMD_segment_6,AMD
AMD_segment_7,AMD
AMD_segment_8,AMD
AMD_segment_9,AMD
AMD_segment_10,AMD
AMD_segment_11,AMD
AMD_segment_12,AMD
AMD_segment_13,AMD
AMD_segment_14,AMD
AMD_segment_15,AMD
AMD_segment_16,AMD
AMD_segment_17,AMD
AMD_segment_18,AMD
AMD_segment_19,AMD
AMD_segment_20,AMD
AMD_segment_21,AMD
AMD_segment_22,AMD
AMD_segment_23,AMD
AMD_segment_24,AMD
AMD_segment_25,AMD
AMD_segment_26,AMD
AMD_segment_27,AMD
AMD_segment_28,AMD
AMD_segment_29,AMD
AMD_segment_30,AMD
AMD_segment_31,AMD
AMD_segment_32,AMD
AMD_segment_33,AMD
AMD_segment_34,AMD
AMD_segment_35,AMD
AMD_segment_36,AMD
AMD_segment_37,AMD
AMD_segment_38,AMD
AMD_segment_39,AMD
AMD_segment_40,AMD
AMD_segment_41,AMD
AMD_segment_42,AMD
AMD_segment_43,AMD
AMD_segment_44,AMD
AMD_segment_45,AMD
AMD_segment_46,AMD
AMD_segment_47,AMD
AMD_segment_48,AMD
AMD_segment_49,AMD
AMD_segment_50,AMD
AMD_segment_51,AMD
AMD_segment_52,AMD
AMD_segment_53,AMD
AMD_segment_54,AMD
AMD_segment_55,AMD
AMD_segment_56,AMD
AMD_segment_57,AMD
AMD_segment_58,AMD
AMD_segment_59,AMD
AMD_segment_60,AMD
AMD_segment_61,AMD
AMD_segment_62,AMD
AMD_segment_63,AMD
AES_segment_1,AES
AES_segment_2,AES
AES_segment_3,AES
AES_segment_4,AES
AES_segment_5,AES
AES_segment_6,AES
AES_segment_7,AES
AES_segment_8,AES
AES_segment_9,AES
AES_segment_10,AES
AES_segment_11,AES
AES_segment_12,AES
AES_segment_13,AES
AES_segment_14,AES
AES_segment_15,AES
AES_segment_16,AES
AES_segment_17,AES
AES_segment_18,AES
AES_segment_19,AES
AES_segment_20,AES
AES_segment_21,AES
AES_segment_22,AES
AES_segment_23,AES
AES_segment_24,AES
AES_segment_25,AES
AES_segment_26,AES
AES_segment_27,AES
AES_segment_28,AES
AES_segment_29,AES
AES_segment_30,AES
AES_segment_31,AES
AES_segment_32,AES
AES_segment_33,AES
AES_segment_34,AES
AES_segment_35,AES
AES_segment_36,AES
AES_segment_37,AES
AES_segment_38,AES
AES_segment_39,AES
AES_segment_40,AES
AES_segment_41,AES
AES_segment_42,AES
AES_segment_43,AES
AES_segment_44,AES
AES_segment_45,AES
AES_segment_46,AES
AES_segment_47,AES
AES_segment_48,AES
AES_segment_49,AES
AES_segment_50,AES
AES_segment_51,AES
AES_segment_52,AES
AES_segment_53,AES
AES_segment_54,AES
AES_segment_55,AES
AES_segment_56,AES
AES_segment_57,AES
AES_segment_58,AES
AES_segment_59,AES
AES_segment_60,AES
AES_segment_61,AES
AES_segment_62,AES
AES_segment_63,AES
AFL_segment_1,AFL
AFL_segment_2,AFL
AFL_segment_3,AFL
AFL_segment_4,AFL
AFL_segment_5,AFL
AFL_segment_6,AFL
AFL_segment_7,AFL
AFL_segment_8,AFL
AFL_segment_9,AFL
AFL_segment_10,AFL
AFL_segment_11,AFL
AFL_segment_12,AFL
AFL_segment_13,AFL
AFL_segment_14,AFL
AFL_segment_15,AFL
AFL_segment_16,AFL
AFL_segment_17,AFL
AFL_segment_18,AFL
AFL_segment_19,AFL
AFL_segment_20,AFL
AFL_segment_21,AFL
AFL_segment_22,AFL
AFL_segment_23,AFL
AFL_segment_24,AFL
AFL_segment_25,AFL
AFL_segment_26,AFL
AFL_segment_27,AFL
AFL_segment_28,AFL
AFL_segment_29,AFL
AFL_segment_30,AFL
AFL_segment_31,AFL
AFL_segment_32,AFL
AFL_segment_33,AFL
AFL_segment_34,AFL
AFL_segment_35,AFL
AFL_segment_36,AFL
AFL_segment_37,AFL
AFL_segment_38,AFL
AFL_segment_39,AFL
AFL_segment_40,AFL
AFL_segment_41,AFL
AFL_segment_42,AFL
AFL_segment_43,AFL
AFL_segment_44,AFL
AFL_segment_45,AFL
AFL_segment_46,AFL
AFL_segment_47,AFL
AFL_segment_48,AFL
AFL_segment_49,AFL
AFL_segment_50,AFL
AFL_segment_51,AFL
AFL_segment_52,AFL
AFL_segment_53,AFL
AFL_segment_54,AFL
AFL_segment_55,AFL
AFL_segment_56,AFL
AFL_segment_57,AFL
AFL_segment_58,AFL
AFL_segment_59,AFL
AFL_segment_60,AFL
AFL_segment_61,AFL
AFL_segment_62,AFL
AFL_segment_63,AFL
A_segment_1,A
A_segment_2,A
A_segment_3,A
A_segment_4,A
A_segment_5,A
A_segment_6,A
A_segment_7,A
A_segment_8,A
A_segment_9,A
A_segment_10,A
A_segment_11,A
A_segment_12,A
A_segment_13,A
A_segment_14,A
A_segment_15,A
A_segment_16,A
A_segment_17,A
A_segment_18,A
A_segment_19,A
A_segment_20,A
A_segment_21,A
A_segment_22,A
A_segment_23,A
A_segment_24,A
A_segment_25,A
A_segment_26,A
A_segment_27,A
A_segment_28,A
A_segment_29,A
A_segment_30,A
A_segment_31,A
A_segment_32,A
A_segment_33,A
A_segment_34,A
A_segment_35,A
A_segment_36,A
A_segment_37,A
A_segment_38,A
A_segment_39,A
A_segment_40,A
A_segment_41,A
A_segment_42,A
A_segment_43,A
A_segment_44,A
A_segment_45,A
A_segment_46,A
