epoch,val_loss
0,100.320732
epoch,val_loss
0,63.890076
1,64.186760
2,63.530045
3,56.106785
4,56.001060
5,54.822701
6,53.004246
7,55.176811
8,56.753319
9,53.189838
10,50.513008
11,52.176090
12,53.748631
13,48.843891
14,49.104832
15,48.819920
16,50.103046
17,48.425365
18,47.933449
19,49.132084
20,48.202259
21,47.329060
22,49.091808
23,47.342770
24,47.692020
25,48.266884
26,49.790970
27,48.229630
28,46.844410
29,46.782959
30,47.533649
31,47.698914
32,46.993145
33,47.813805
34,46.359371
35,46.533100
36,47.549194
37,47.573380
38,49.488686
39,46.803242
40,46.135231
41,47.726700
42,45.968121
43,46.275856
44,47.288754
45,47.894112
46,46.661678
47,46.070599
48,45.694939
49,47.465309
50,45.590500
51,46.029549
52,45.675453
53,46.868660
54,45.961395
55,47.087811
56,47.854126
57,46.077599
58,46.339344
59,45.634087
60,46.095333
