epoch,val_loss
0,1.994593
epoch,val_loss
0,0.185012
1,0.181530
2,0.181174
3,0.179845
4,0.176657
5,0.177659
6,0.178159
7,0.177232
8,0.176654
9,0.177371
10,0.177623
11,0.176636
12,0.181270
13,0.179167
14,0.178482
15,0.182418
16,0.179635
17,0.180029
18,0.181717
19,0.180412
20,0.181217
21,0.182002
